SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,SO3,TiO2,P2O5,S,AFT
59.2,21.3,3.56,4.64,1.2,1.16,3.1,0.948,0.853,0.315,0.14,1426.666667
65.1,21.9,2.41,1.06,0.625,0.914,3.74,0.274,0.912,0.062,0.25,1537.777778
63.5,23.6,3.3,0.572,0.69,0.27,2.66,0.653,1.11,0.056,0.24,1537.777778
64.6,25.2,2.8,0.375,0.594,0.261,2.82,0.418,1.25,0.039,0.26,1537.777778
65.2,15.8,2.59,5.39,0.255,1.51,0.735,4.53,0.752,0.734,0.21,1504.444444
50.5,42.7,0.713,0.164,0.102,,0.166,0.115,0.767,0.032,0.14,1537.777778
51.5,35.4,2.87,1.36,0.911,0.128,0.642,1.82,1.12,0.245,0.69,1537.777778
52.8,25,4.25,4.02,2.37,0.733,1.43,3.49,1.24,0.239,0.21,1476.666667
50.8,22.2,4.9,6.89,1.8,1.23,2.45,3.45,1.39,0.123,0.23,1426.666667
54.4,27.2,3.14,3.66,1.5,0.491,1.27,2.12,1.17,0.112,0.36,1460
52.6,26.4,3.5,5.98,1.86,0.533,1.26,2.75,1.13,0.109,0.32,1537.777778
55.8,23.4,5.02,2.77,0.899,2.82,1.47,3.85,0.809,0.522,0.21,1526.666667
55.5,24.7,7.92,2.51,1.2,0.382,1.79,3.45,1.05,0.084,0.4,1537.777778
48.3,28,8.24,4.06,0.617,0.34,0.85,3.58,2.08,0.104,0.55,1526.666667
40.6,31.9,12.6,3.78,0.928,0.102,0.95,3.39,0.934,0.578,0.45,1437.777778
49.9,35.6,4.06,1.45,0.523,0.405,0.448,1.53,2.08,0.142,0.32,1537.777778
50,19.8,5.74,5.57,3.55,0.656,1.97,7.72,0.941,0.34,0.24,1332.222222
43.7,37.4,5.12,2.58,0.992,1.4,1.08,1.88,2.51,1.27,0.23,1537.777778
55.4,23.1,5.8,1.07,0.959,1.55,3.76,1.24,2.06,0.429,0.38,1504.444444
53,27.6,4.26,1.13,0.976,0.722,4.88,1.06,1.47,0.298,0.69,1537.777778
57.8,26.3,4.77,2.4,0.763,0.53,1.17,0.401,0.899,0.056,0.27,1537.777778
57.2,26.2,4.57,3.02,0.751,0.585,1.11,0.66,0.909,0.042,0.29,1537.777778
60.6,23.8,3.14,1.16,2.03,0.192,3.45,1.33,1.18,0.276,0.25,1537.777778
59.7,25.1,2.99,1.41,1.71,0.24,2.9,1.19,1.06,0.482,0.6,1537.777778
51.7,26.8,9.49,1.63,0.692,0.523,1.65,1.72,1.15,0.703,0.97,1510
51.6,28,8.37,1.42,0.752,0.46,1.62,1.37,1.42,0.2,1.3,1537.777778
56,25.8,6.33,0.849,1.7,0.269,3.2,1.27,1.17,0.143,0.42,1537.777778
53,30.2,9.84,1.24,1.42,0.25,2.21,1.85,1.41,0.184,0.61,1537.777778
51.5,22.5,15.5,2.12,1.28,0.786,3.1,3.74,2.46,0.098,0.83,1321.111111
43.1,30.3,11.8,4.62,0.816,0.895,3.71,2.75,3.32,0.095,1.03,1443.333333
54.3,34.2,3.2,1.4,0.25,0.52,0.25,,1.4,0.8,0.8,1537.777778
59.2,28.6,3.3,1.7,0.34,0.88,0.14,1.2,1.8,1.3,0.68,1537.777778
56.6,27.8,4.3,2.3,0.42,0.33,0.95,1.4,1.5,0.03,0.5,1537.777778
59.5,32.9,4.8,0.66,0.32,0.11,0.49,0.99,1.3,,0.53,1537.777778
47.8,41.4,8.7,1.2,1.2,0.58,0.06,2.6,0.61,0.11,0.32,1537.777778
44.4,40.4,2.9,1.1,0.97,0.27,0.06,2.5,3.1,0.17,0.43,1537.777778
47.4,42.6,3.1,1,0.95,1.2,0.05,2.7,3.3,0.22,0.26,1537.777778
72.6,20.3,2.3,0.38,0.35,0.26,1.3,0.53,2.3,,0.49,1537.777778
59.6,33,8.2,0.35,0.28,0.2,0.69,0.58,1.4,0.31,1.01,1537.777778
32.7,42.8,8.2,4.1,1.2,0.1,0.14,7.8,2.2,1.1,0.39,1537.777778
32.7,30.4,16.6,5,3.6,0.28,0.82,13.1,0.99,0.12,0.89,1310
40.1,29.8,20.9,1.4,0.62,0.89,0.23,3.3,2.6,0.11,1.13,1487.777778
46.7,32.9,3.6,2.8,1,2.1,0.41,2.8,5.5,0.2,0.38,1537.777778
47.1,35.3,7.7,0.61,0.71,0.28,1.7,0.91,0.97,0.08,0.39,1537.777778
30.3,28.3,4.4,11.2,2.6,1.8,0.98,17.1,2.1,0.79,0.63,1337.777778
43.6,29.9,12.3,2.2,1.3,0.57,0.6,4.4,2.7,0.16,0.43,1521.111111
29.6,20.7,18.2,9.8,5.7,0.57,0.31,11.9,0.27,,0.46,1298.888889
29.5,25.2,15.4,8.8,3.4,0.54,1.3,15.4,1.2,0.85,0.72,1293.333333
26.2,28.6,3.6,10,3.2,5.8,0.39,16.4,2.1,0.43,0.29,1248.888889
49.8,38.1,1.8,0.23,0.7,0.69,2.2,0.08,1.3,0.15,0.67,1537.777778
49.4,20.4,8,4.7,4.2,0.27,1.4,6.5,1.2,0.46,0.42,1337.777778
51.8,30.4,5.6,0.68,1,0.07,6.1,0.24,1.8,0.57,0.63,1537.777778
62.6,19.2,12,1,2.7,0.27,0.93,1.6,0.52,0.48,0.39,1382.222222
44.1,31.4,9.2,2.1,1.9,0.23,3.4,3.5,1.8,0.47,0.77,1515.555556
52.5,28.8,8.4,0.77,2.6,0.44,4.2,0.9,1.4,0.44,0.58,1515.555556
73.8,18.3,4.4,0.08,1.7,0.65,2.6,0.42,0.82,0.12,0.09,1515.555556
51.3,29.6,6.6,0.2,2.8,1.9,4.2,2.2,1.4,0.12,0.1,1482.222222
56.3,22.4,5.7,2.8,2.3,1.4,3.7,2.2,1.4,0.81,0.11,1421.111111
55.9,27.6,4.3,2.2,1.7,1.4,3.2,2.5,1.2,0.22,0.11,1537.777778
65.2,21.9,6.3,0.27,1.2,0.54,3,0.86,1.1,0.16,0.08,1537.777778
54.7,28.8,7.1,1.2,1.7,0.92,4.2,1.9,1.5,0.51,0.09,1537.777778
47.2,32.8,6,1.3,1.5,2.7,3.6,1.8,1.4,0.46,0.12,1537.777778
54.1,27.1,8.2,0.11,0.96,1.2,4.7,1.2,1.8,0.09,0.33,1537.777778
58,26.2,5,1.2,1.8,0.55,3.6,1.9,1.8,0.07,0.18,1537.777778
68.3,20.9,4.4,0.31,1.4,0.68,2.6,0.69,1.1,0.15,0.2,1537.777778
64.8,22,5.3,0.95,1.3,0.4,3.9,1,0.71,0.4,0.14,1537.777778
66.8,19.6,5,0.15,1.4,0.55,2.2,1.2,0.55,0.19,0.23,1537.777778
60.4,22.2,8.7,2.1,1.2,1.1,3.2,2.6,1.2,0.29,0.3,1448.888889
55.7,29,3.4,1.4,1.1,0.83,5.6,1.2,1.7,0.72,0.16,1537.777778
44.1,30.9,10.5,0.64,3.6,1.7,2.9,0.95,0.61,0.17,0.11,1465.555556
64.4,22.8,3.6,0.47,0.9,1.3,3.1,1.2,0.73,0.3,0.37,1537.777778
57.7,25.6,4.3,0.29,0.93,0.34,4,0.74,2.2,0.2,0.27,1537.777778
64.5,20.6,5.4,0.12,1.3,1.1,1.5,2.2,0.88,0.04,0.3,1510
51.4,29.7,7,1.1,0.89,1.6,2.9,1.3,2,0.95,0.29,1537.777778
62.5,20.6,5.4,1.1,1.9,0.46,4.7,1.5,1,0.15,0.36,1504.444444
66.1,23.6,5,0.6,1.6,0.84,4.5,0.95,0.91,0.08,0.42,1537.777778
62.6,20.6,7.1,0.78,1.6,0.39,3.5,0.82,1,0.2,0.29,1493.333333
50.5,30.7,3.7,5.7,1.6,0.18,2,3.6,1.2,0.21,0.11,1532.222222
56.7,27.1,6.2,2.3,2.7,0.19,3.6,2.2,1.1,0.25,0.27,1498.888889
46.3,20.4,13.3,4.6,2.9,0.36,3.3,8.4,0.81,0.15,0.69,1382.222222
47.4,28.1,7.8,5.7,1.9,0.26,1,4,1.2,0.04,0.19,1443.333333
19.2,11.7,36.2,10.7,2.1,0.08,0.85,17,0.48,0.1,1.12,1060
48.5,36.6,3.9,2.4,0.7,0.6,0.45,2.7,1.3,1.6,0.52,1537.777778
54.4,28.8,6.2,4.6,1.3,0.64,1.5,1,1,0.81,0.52,1493.333333
51.2,33.9,7,1.5,0.98,0.94,0.55,2.6,1.1,0.38,0.84,1537.777778
64.2,29,2.8,1.7,0.87,0.37,2.1,1,1,0.08,0.11,1537.777778
50.3,17,5.3,2.8,2.9,5.4,0.83,10.6,1.4,0.05,0.56,1326.666667
51.9,32,3.2,2.9,1.2,1.4,1.3,4.4,1.3,0.05,0.14,1537.777778
43.6,18,5.5,10,1.1,3.7,0.6,15.5,0.8,0.04,0.37,1193.333333
50.2,22.2,2.8,7.2,1.3,1.6,1.1,8.3,1.3,0.05,0.86,1404.444444
46.9,24.1,8.2,3.6,2.8,2.2,1.6,6.9,1,0.08,0.97,1387.777778
47.7,14.4,1.6,10.6,4.3,1.3,0.97,17.4,1.1,0.04,2.04,1226.666667
42.2,18,11,12.1,4.5,2.2,1.4,9.1,1,0.31,0.34,1204.444444
